NV_PN,JEDEC_TYPE,DESCRIPTION,COSTS,MPN,MANUFACTURER,COMPLIANCE,LEAD_TIME,SOURCE_EXPANSION,PACK_TYPE,TEMP_RANGE
195-2507-000,0201,RES SCD 0201 499 1% 1/20W,0.0008,Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
032-1148-000,0402,CAP PACHINKO X7R 0402 2.7nF +/-10% 50V,0,GRM155R71H272KA01D,Murata,P8E0-B-2,999,PACHINKO,0402,-55degC..125degC
195-2450-000,0201,RES SCD 0201 374K 1% 1/20W,[ ],Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
300-0976-000,SC70_3_B,P-CH MOSFET PACHINKO SOT323_1G1D1S -100.0mA 20.0V 150.0mW SSM3J15FU,0.015,"SSM3J15FU,LF(T",Toshiba America,P8E0-A-1,77,PACHINKO,SOT323_1G1D1S,-40.15degC..84.85degC
032-0385-000,0402,CAP AUTOMOTIVE C0G 0402 27.0pF +/-5.0% 50.0V,0.0025,GCM1555C1H270JA16D,Murata,P8E10,60,AUTOMOTIVE,0402,-55degC..125degC
170-0369-000,BGA_0153_P050_115X130,"IC FLASH 5ns FBGA153_V5_1 SDINBDG4-32G-H , e.MMC 5.1+ 32GB",0,SDINBDG4-32G-H,SanDisk,P8E0-A-1,180,CCM,5ns,-25degC..95degC
086-0247-000,OSC_06_SMD_032X050,OSC LVDS_SMD 72.0 MHz 25.0 ppm 1.71 V 1.89 V XUL51672.000JS6I,0,XUL51672.000JS6I,IDT,P8E10,999,CCM,LVDS_SMD,-40.15degC..84.85degC
045-0187-000,CAP_TH_D050P020,CAP ALE THRU 100uF 20% 10V 5X11mm,0.0075,EGS107M1AD11TT,Man Yue,P8E0-A-2,42,CCM,TH_D50P20,-40degC..85degC
090-0242-000,DIODE_SMD_SMA,DIODE AUTOMOTIVE SMA Single 1.1V 1000.0mA S1GHE3_A/H,0.024,S1GHE3_A/H,Vishay,P8E10,45,AUTOMOTIVE,SMA,-55degC..150degC
195-3302-000,0402,RES SERVER 0402 105K 1% 1/16W,0.00071,Multi(4),Multi(4),P8E1-7cI-C-1,42,UNRESTRICTED,0402,-55degC..155degC
195-3033-000,0402,RES SERVER 0402 165R 1% 1/16W,[ ],Multi(4),Multi(4),P8E1-7cI-C-1,999,UNRESTRICTED,0402,-55degC..155degC
200-0117-000,RPAK_PAR_4_2010,RES PACK AUTOMOTIVE 8P 4R 2X1mm 25V 5% 1/16W 56K,0.0063,MA02J563-4G~VERB,Skywell,Compliance Unknown,98,AUTOMOTIVE,0402X4,-55degC..125degC
130-1097-000,IND_NONRKO_SMD_075X075_B,IND AUTOMOTIVE 7_6X7_6 Composite 0.6uH 20% 14.5A 3.3mohm -1 -1KHz 72MHz,0.78,XAL7030-601MEC~0000,Coilcraft,[ ],49,AUTOMOTIVE,7_6X7_6,-40degC..130degC
032-1070-000,0805_LARGE,CAP AUTOMOTIVE X7R 0805 4.7 uF +/-10.0% 35.0 V SOFT-TERMINATION,0.055,CGA4J1X7R1V475KT000S,TDK,P8E0-A-2,84,AUTOMOTIVE,0805W,-55degC..125degC
200-0035-000,RPAK_PAR_4_3216,RES PACK PACHINKO 8P 4R 3.2X1.6MM 50V 5% 1/16W 8.2K,0.00339,MNR14E0APJ822~VERD,Rohm,P8E10,42,PACHINKO,0603X4,-55degC..125degC
032-1127-000,1206_LARGE,CAP X7R 1206W 22uF +/-20% 16V,0.00014,CGLC1206B160A226M-T2,Thin Film,P8E0-A-2,126,CCM,1206W,-55degC..125degC
315-1019-000,SO08_050X040_T035X028,VREG LINEAR SO8_NOVR Low Drop Out 0.38V 0.8V 3.3V 1.5% % APL5934DKAI-TRG,0,APL5934DKAI-TRG,Anpec,P8E0-A-2,999,CCM,SO8_NOVR,-40.15degC..125degC
195-2314-000,0201,RES SCD 0201 19.6K 1% 1/20W,0.0028,Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
115-1994-000,XSOP10_P050_030X030,IC GENERAL AUTOMOTIVE Switch - Analog VSSOP10 TS5A23157-Q1,0.195,TS5A23157QDGSRQ1,TI,P8E10,63,AUTOMOTIVE,VSSOP10,-40.15degC..125.05degC
195-0918-000,0603,RES SCD 0603 357 1% 1/10W,0.0005,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0603,-55degC..155degC
065-0565-000,CON_EDGE_MJ08_014_TH_RA_F_2LED,CONN THRU NON-HI TEMP RJ45 MID-MOUNT FEMALE RA 14 POS,0.352,MJ302X-Y150-41F,Simula,P8E10,60,CCM,TH_RA_SHLD,Validation
GK106-875-A1,BGA_1428_P080_P085_P100_350X350,WS GK106-875-A1,[ ],[ ],[ ],[ ],7,[ ],BGA1428,[ ]..[ ]
032-0244-000,0603,CAP AUTOMOTIVE X7R 0603 0.22uF +/-10.0% 25V,0.003,AC0603KRX7R8BB224~VERA,Yageo,P8E10,70,AUTOMOTIVE,0603,-55degC..125degC
080-0874-000,CON_MISC_060_SMT_ST_F_P064_BTB,CONN SMD PACHINKO BOARD TO BOARD FEMALE VERT 60 POS 0.635mm PITCH,N/A,8601-060FS-A-P~VERA,KEL,P8E8,60,PACHINKO,8601,CON_MISC_060_SMT_ST_F_P064_BTB
195-2628-000,0201,RES SCD 0201 8.87K 1% 1/20W,[ ],Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
090-0297-000,DIODE_SMD_SOD923,ZENER AUTOMOTIVE SOD923 SZNZ9F6V2ST5G 0.9V 0.25W,0.0269,SZNZ9F6V2ST5G,ON SEMI,P8E10,63,AUTOMOTIVE,SOD923,-40degC..150degC
045-0213-000,CAP_SMD_066X066,CAP ALE SMD 100uF 20% 16V 6.3X5.7mm,0.03,VZH101M1CTR-0606,Lelon,P8E0-A-1,35,CCM,SMD_D60,-55degC..105degC
195-3222-000,0402,RES SERVER 0402 15.4K 1% 1/16W,0.00076,Multi(4),Multi(4),P8E1-7cI-C-1,49,UNRESTRICTED,0402,-55degC..155degC
195-0485-000,0402,RES SCD 0402 1K 5% 1/16W,0.00016,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
195-3224-000,0402,RES SERVER 0402 16.2K 1% 1/16W,0.00112,Multi(4),Multi(4),P8E1-7cI-C-1,70,UNRESTRICTED,0402,-55degC..155degC
065-0531-000,CON_USB3_009_TH_RA_071X258,CONN THR USB3.0 TYPE A FEMALE FLAG RA 13-POS BLUE,0.495,2UB3906-201101F,Singatron,P8E8,56,UNRESTRICTED,USB3_A,Released
315-0815-000,QFN040_P050_0066X0066,VREG INTEGRATED DRMOS POWER STAGE 4.5V TO 18V 50A PowerPAK MLP66-40L,0.51,SIC780CD-T1-GE3,Vishay,P8E1-7a-B-1,98,CCM,QFN40,-40degC..150degC
090-0134-000,DIODE_SMD_SOD923,DIODE SMD TRANSIENT VOLTAGE SUPPRESSORS FOR ESD PROTECTION SOD-923 Uni-Directional 6.2V 65pF,0.0125,ESD9X5.0ST5G,ON SEMI,P8E0-A-1,112,CCM,SOD923,-55degC..150degC
300-0226-000,SO08_048X038,XSTR DUAL N-CH ENHANCEMENT MODE FET 30V 7.5A 35mOHM MAX @ 4.5V SOIC-8,0.078,AO4842L,Alpha and Omega,P8E0-A-2,98,CCM,SO8_DUAL_1G2D1S,-55degC..150degC
115-2322-000,BGA_0080_P065_070X070,IC INTERFACE MIPI BGA80 TC358870XBG HDMI to MIPI Bridge,0,TC358870XBG,Toshiba Semi & Storage,P8E10,999,CCM,BGA80,-30.15degC..69.85degC
300-0945-000,SOT323,N-CH MOSFET AUTOMOTIVE SOT323_1G1D1S 0.23A 8.0V 0.26W NX3008NBKW,[ ],NX3008NBKW,NXP,P8E10,999,AUTOMOTIVE,SOT323_1G1D1S,-55.15degC..150.05degC
032-0587-000,0402,CAP C0G 0402 10.0pF +/-2.0% 50.0V,0.00765,GJM1555C1H100GB01D,Murata,P8E0-B-2,63,CCM,0402,-55degC..125degC
131-0567-000,IND_NONRKO_SMD_132X129,IND PACHINKO SMD 4.7uH 20% 10A 15mOHM dcR MAX 13.2X12.9X3.5mm,0.25,MMD-12CE-4R7M-V1-RT~VERA,Mag Layers,P7,35,PACHINKO,SMD_13X13,-55degC..150degC
195-0193-000,0402,RES SCD 0402 249 1% 1/16W,0.00026,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
315-1031-000,DFN06_P065_020X020_T016X010,VREG LINEAR DFN6 Low Drop Out/Fixed 450mV 1.2V 1.2V 1.4% % TLV73312PQDRVRQ1,0.063,TLV73312PQDRVRQ1,TI,P8E0-A-1,98,CCM,DFN6,-40degC..125degC
090-0304-000,DIODE_SMD_SOD923,DIODE SOD923 Single 1.0V 100.0mA BAS40SL,0.034,BAS40SL,Fairchild,P8E0-A-1,175,CCM,SOD923,-55degC..150degC
032-0459-000,0805,CAP X7R 0805 10.0uF +/-10.0% 6.3V,0.0162,Multi(2),Multi(2),P8E0-A-2,91,UNRESTRICTED,0805,-55degC..125degC
032-1056-000,0402,CAP PACHINKO X5R 0402 1.0uF +/-20.0% 16.0V,0.0068,C0402C105M4PACTU,Kemet,P8E0-B-2,999,PACHINKO,0402,-55degC..85degC
032-0329-000,0805,CAP X5R 0805 100.0uF +/-20.0% 4V,0.20,GRM21BR60G107ME15L,Murata,P8E0-B-2,77,CCM,0805,-55degC..85degC
131-0025-000,MULTI_IND_SMD_150X135,IND PWR 1.5uH 20% W/SHIELD 27A 3mOHM MAX SMD,1.00,IHLP5050FDER1R5M01,Vishay,P7,140,CCM,SMD_590X530,-55degC..125degC
195-2794-000,0402,RES AUTOMOTIVE 0402 18.7 kohm 1.0 % 62.5 mW,0.0035,RCA040218K7FKED,Vishay,P8E10,63,AUTOMOTIVE,0402,-55degC..155degC
101-0346-000,RF_DUPLEXER_009_SMD_020X016_C,FILTER DB AUTOMOTIVE QFN9 Duplexer 1880.0MHz 1960.0MHz 55.2MHz 55.2MHz 2.3decibel 2.7decibel B39202B4480P810,[ ],B39202B4480P810,TDK,P8E0-A-2,45,AUTOMOTIVE,QFN9,-20.15degC..84.85degC
215-0265-000,0402_LARGE,RES SENSE 0402 20.0mohm 1.0% 100.0ppm 0.2W RES 0402 20mOHM 0.2W,[ ],ERL0510-M-R020-F-T1,Yokohama,P8E10,60,CCM,0402,-55.15degC..155.05degC
195-1575-000,0603,RES PACHINKO 0603 6.04K 1% 1/10W,0.0011,RK73H1JTTD6041F~VERA,KOA Speer,P8E1-7cI-A-2,84,PACHINKO,0603,-55degC..155degC
300-0878-000,SOT23,BJTS SOT23_1B1C1E 600.00mA 40.0V 350.00mW MMBT2222A,0.006,MMBT2222AG-T3R,LISION,P8E0-A-2,56,CCM,SOT23_1B1C1E,-55degC..150degC
195-1883-000,0402,RES AUTOMOTIVE 0402 118.0kohm 1.0% 62.5mW,0.00678,RCA0402118KFKED,Vishay,P8E10,84,AUTOMOTIVE,0402,-55degC..155degC
090-0329-000,DIODE_SMD_SMB,PROTECT AUTOMOTIVE SMBJ13CAHE3/5B 1 Line Bi-Directional 14.4V 1500.0pF,0.092,SMBJ13CAHE3/5B,Vishay,P8E10,999,AUTOMOTIVE,SMB,-55.15degC..150.05degC
075-0305-000,CON_HDR_001X003_TH_ST_M_P025_SHR_C,Header (TH Non High Temp) 1X3 ST MALE White 2.5mm PITCH,0,B3B-XH-A,J.S.T.,P8E10,999,CCM,NORM,preliminary attribute
032-0322-000,0603,CAP AUTOMOTIVE C0G 0603 2200.0pF +/-5.0%,0.005,GCM1885C1H222JA16D,Murata,P8E0-B-2,126,AUTOMOTIVE,0603,-55degC..125degC
215-0343-000,RES_04_SMD_016X008,RES SENSE 0603 0603_4PIN 10mohm 1% 70ppm 0.33W,0.066,WW06RR010FTL,Walsin,P8E0-A-2,56,CCM,0603_4PIN,-55degC..155degC
215-0347-000,1206_LARGE,RES SENSE AUTOMOTIVE 1206W 3mohm 1% 150ppm 1W,0,MPC1206GR003FFA-T5,Thin Film,P8E10,999,AUTOMOTIVE,1206W,-55degC..155degC
074-0117-000,CON_HDR_001X002_TH_ST_M_P025,HDR THRU HI TEMP SINGLE ROW 2 POS MALE VERT 2.54mm PITCH,0.012,2201-02-S-02-5.84/2.92-HT-HSF,Singatron,P8E0-A-2,49,CCM,NORM,Parameter N/A
080-1331-000,CON_FFC_024_SMD_RA_F_P005_ZIF_F,Connector (Edge) CONN SMD FPC CREAM COLOR FEMALE RA 24 POS 0.5mm PITCH,0.185,196357-24041-3,P-TWO,P8E0-A-3,35,CCM,SMD_MT2,CON_FFC_024_SMD_RA_F_P005_ZIF_F
041-0028-000,CAP_SMD_7343,CAP POLY 330uF 20% 2.5V 7.3X4.3X1.9mm,0.21,TEPSGV0E337M9-12R,NEC TOKIN,P8E10,85,CCM,SMD_7343,-55degC..105degC
195-1281-000,0603,RES SCD 0603 75 5% 1/10W,0.00035,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
215-0119-000,RES_04_SMD_016X008,RES 0603 LOW RESISTANCE 0.2OHM 1% 200PPM 1/10W,0.023,RLT0816-C-R20-FNH,Cyntec,P8E0-A-2,56,CCM,0603_4PIN,[ ]..[ ]
032-0828-000,0402,CAP X6S 0402 1.0uF +/-10.0% 16.0V,0.00578,EMK105 C6105KV-F,Taiyo Yuden,P8E0-A-2,70,CCM,0402,-55degC..105degC
300-0654-000,DFET_SMD_DPAK_VIAS,XSTR SGL N-CH TRENCH MOSFET 30V 67.4A 8.6mOHM MAX @ 4.5V D-PAK,0.062,MDD1501RH,MagnaChip,P8E8,63,CCM,DPAK_VIAS_1G1D1S,-55degC..150degC
195-3606-000,2512_B,RES 2512 90.9ohm 1% 2W,0,TFP2512R90R9F-T4,Thin Film,P8E10,999,CCM,2512,-55degC..155degC
032-1087-000,CAP_SMD_7343,CAP POL AL-Polymer SMD_7343 470.0 uF +/-20.0 % 2.0 V Black 2V@125C 2.5V@105C,0.3101,EEFHX0E471R4,Panasonic,P8E0-B-3,112,CCM,SMD_7343,-55.15degC..125.05degC
300-1054-000,SOT23,N-CH MOSFET AUTOMOTIVE SOT23_1G1D1S 8.0A 20.0V 1.4W SQ2348ES,0,[ ],[ ],P8E10,999,AUTOMOTIVE,SOT23_1G1D1S,-55.15degC..125.05degC
090-0244-000,SOT23,DIODE SOT23 Single 0.8V 200.00mA BAT54CG,0.0072,BAT54CG,LISION,P8E8,49,CCM,SOT23,-65degC..150degC
GV100-400-A1,BGA_2693_P100_550X550,GV100-400-A1,[ ],[ ],[ ],[ ],0,[ ],BGA2693,[ ]..[ ]
041-0031-000,CAP_SMD_7343,CAP POLY 7.3x4.3x1.9MM 330UF 2.5V 20% 9mOHM,0.195,T520V337M2R5ATE009,Kemet,P8E0-A-2,112,CCM,SMD_7343,-55degC..105degC
200-0080-000,RPAK_PAR_4_2010,RES PACK 8P 4R 2X1mm 25V 5% 1/16W 1K,0.00158,Multi(5),Multi(5),P7,42,CCM,0402X4,-55degC..125degC
065-0610-000,CON_MISC_100_SMD_ST_F_P004_BTB_B,Connector (TH Non High Temp)BOARD-TO-BOARD DOUBLE ROW FEMALE 100 POS 0.4mm PITCH,4.37,54684-1004,Molex-Japan,P8E8,60,CCM,SMD100,CON_MISC_100_SMD_ST_F_P004_BTB_B
170-0365-000,BGA_0153_P050_115X130,"IC FLASH AUTOMOTIVE 38.46ns BGA153_V2_1 KLUCG4J1ZD-B0CP , UFS2.1, 64GB",0,KLUCG4J1ZD-B0CP,Samsung Electronics,P8E10,180,AUTOMOTIVE,38.46ns,-40degC..85degC
195-0483-000,0402,RES SCD 0402 10 5% 1/16W,0.00017,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
300-0847-000,DFET_SMD_020X020_B,N-CH MOSFET DFN06 9A 20.0V 1.7W PB600BA,0.042,PB600BA,NIKO,P8E0-A-2,56,CCM,DFN06,-55degC..150degC
195-0890-000,0603,RES SCD 0603 30.9K 1% 1/10W,0.00072,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
032-0585-000,0402,CAP C0G 0402 15.0pF +/-2.0% 50.0V,0.00646,Multi(2),Multi(2),P8E0-B-2,119,UNRESTRICTED,0402,-55degC..125degC
315-0972-000,SOT23_6,VREG SOT23_6 Charge Pump 3.6V 11.0V LM2766 LM2766,0,LM2766M6/NOPB,TI,P8E0-A-1,999,UNRESTRICTED,SOT23_6,-40.15degC..84.85degC
151-10001-0421-076,BRKT_ATX_1TAB_NO_IO_MICRO,BRACKET DUAL WIDE 1 TAB ALL VENT TESLA BLACK COBALT,0.4,BWB-01083-W0,KuangYing,P8E8,35,CCM,ATX_2X_TOP,Parameter N/A
N/A,MECH_RECT_00620X00295_PADS_B,TOUCHPAD NO-PHY DIAMOND 9X4+3 BUTTONS 5.5MM PITCH WITH SLOTS,[],Parameter N/A,Parameter N/A,,Parameter N/A,Parameter N/A,9X4_3B,Parameter N/A
085-0302-000,XTAL_SMD_4_032X025,XTAL SMD_32X25 27.0MHz 150.0ppm Fundamental 8.0pF EXS00A-CG06183,0,EXS00A-CG06183,NDK,P8E1-7cI-A-2,999,CCM,SMD_32X25,-40.15degC..150.05degC
195-3517-000,0402,RES AUTOMOTIVE 0402 14.7kohm 1% 62.5mW,0.00104,TFA0402R1472F-T10,Thin Film,P8E1-7cI-A-2,63,AUTOMOTIVE,0402,-55degC..155degC
195-0447-000,0402,RES SCD 0402 84.5 1% 1/16W,0.0006,Multi(10),Multi(10),P7,42,SCD,0402,-55degC..155degC
131-0570-000,IND_NONRKO_TH_117X117_B,IND THRU 0.6uH 20% 38A 0.8mOHM dcR MAX SHIELDED 11.7X11.7X8.5mm MAX,0.058,HP5021108R60-030210,Magic,P8E0-A-2,42,CCM,TH,-20degC..125degC
041-0190-000,CAP_SMD_7343,CAP POLY 330uF 20% 2V 7.3X4.3X1.4mm,0.2086,EEFST0D331R,Panasonic Electronic Devices,P8E0-B-2,70,CCM,SMD_7343,-40degC..105degC
085-0295-000,XTAL_SMD_4_016X012,XTAL SMD_16X12 37.4MHz 8.0ppm Fundamental 16.0pF XTL901200-N64-145,0,XTL901200-N64-145,Siward,P8E0-A-2,999,CCM,SMD_16X12,-40.15degC..105.05degC
195-0956-000,0603,RES SCD 0603 422K 1% 1/10W,0.00072,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
115-0868-000,XSOP20_P065_065X044,IC 3Mbps RS-232 TRANSCEIVERS WITH LOW-VOLTAGE INTERFACE TSSOP-20,1.10,MAX13235EEUP+,Maxim,P8E0-B-2,90,CCM,TSSOP20,[ ]..[ ]
195-0813-000,0603,RES SCD 0603 215 1% 1/10W,0.00072,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
195-2967-000,0805,RES AUTOMOTIVE 0805 33.0ohm 5.0% 125.0mW,0.01565,MCR10EZPJ330,Rohm,P8E10,91,AUTOMOTIVE,0805,-55.15degC..155.05degC
101-0255-000,FILTER_006_SMD_020X013_BALUN,FILTER BP AUTOMOTIVE SMD6B BALUN 2.45GHz 1.7decibel 2450BM15A0002E-AEC 50 ohm DCR,0.80,2450BM15A0002E-AEC~VERA,Johanson Technology,P8E10,45,AUTOMOTIVE,SMD6B,-40degC..125degC
080-1446-000,CON_MISC_014_SMD_ST_M_P004_BTB,Interconnect (SMD) 0.4mm board-to-board. 14 pin. Male,0,503552-1420,Molex-Japan,P8E0-A-1,999,CCM,SMD14_GND4_M,CON_MISC_014_SMD_ST_M_P004_BTB
195-2200-000,0201,RES SCD 0201 113K 1% 1/20W,0.0025,Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
130-0974-000,IND_NONRKO_SMD_087X081,IND SMD_9X8 IRON POWDER 0.47uH 20.0% 27.0A 2.2mohm -1 -1.0KHz -1.0MHz,0.18,HPPC08040B-R47M-Q8DF,Chilisin,P8E0-A-2,49,CCM,SMD_9X8,-55.15degC..150.05degC
090-0273-000,DIODE_SMD_010X060,DIODE AUTOMOTIVE SLP_2PIN PESD5V0V1BL 1 LINE Bi-Directional 7.8V 13pF,0.0115,PESD5V0V1BL,NXP,P8E0-B-1,42,AUTOMOTIVE,SLP_2PIN,-55degC..150degC
080-1365-000,CON_EDGE_PEX_164_SMD_RA_F_TAB_CUTOUT,CONN 164P PCI EXPRESS 1.00mm PITCH,1.3,8-1734857-5,Tyco,P8E2-A-2,56,CCM,PHY-X16,Validation
315-0620-000,SOT23_5,VREG LOW-IQ LOW-DROPOUT FOR PORTABLE DEVICES 1.8V 200mA TSOT23-5,0.035,TLV70018DDCR,TI,P8E8,97,CCM,SOT235,-40degC..125degC
195-1928-000,0402,RES AUTOMOTIVE 0402 36.5kohm 1.0% 63mW,0.00678,RCA040236K5FKED,Vishay,P8E10,70,AUTOMOTIVE,0402,-55degC..155degC
036-0189-000,0201,CAP X7R 0201 330pF 25V 10%,0.00118,GRM033R71E331KA01J,Murata,P8E0-B-2,63,CCM,0201,-55degC..125degC
195-0904-000,0603,RES SCD 0603 3.32K 1% 1/10W,0.00034,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0603,-55degC..155degC
092-0066-000,LED_TH_124X054P025_RA,OPTO IRED THRU 5mm,0.21,Q65110A9615,OSRAM,P7,57,CCM,TH_5MM_RA,-40degC..100degC
195-2087-000,0201,RES SCD 0201 33 5% 1/20W,0.00068,Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
032-0081-000,CAP_SMD_066X066,CAP POL ALE SMD_D60 100.0uF 20.0% -20.0% 25.0V,0.08641,EEEFKE101XAP,Panasonic IDSC,P8E8,91,CCM,SMD_D60,-55degC..105degC
195-0239-000,0402,RES SCD 0402 3.09K 1% 1/16W,0.00026,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
195-0237-000,0402,RES SCD 0402 30.9 1% 1/16W,0.00031,Multi(10),Multi(10),P7,42,SCD,0402,-55degC..155degC
195-3207-000,0402,RES SERVER 0402 10.7K 1% 1/16W,0.00076,Multi(3),Multi(3),P8E1-7cI-C-1,49,UNRESTRICTED,0402,-55degC..155degC
131-0569-000,IND_NONRKO_TH_108X080,IND THRU 0.22uH 20% 35A 0.737mOHM dcR MAX 11.3X8.5X9.0mm MAX,0.083,NSF108-R22M-HF1,Chilisin,P8E0-A-2,56,CCM,TH,-40degC..125degC
032-0182-000,CAP_TH_D063P025,CAP POL AL-Polymer TH_D63P25 560.0uF +/-20.0% 6.3V,0.049,UPR0J561MNN6308,Chinsan Electronic Industrial (Thailand),P8E0-A-1,35,CCM,TH_D63P25,-55degC..105degC
280-0003-000,SW_16_SMD_ST_8XONOFF_218X067,SWITCH SMD DIP SLID SPST 8 POS,0.502,219-8LPST,CTS,P8E2,30,CCM,SOIC,Parameter N/A
195-0790-000,0603,RES SCD 0603 1.91K 1% 1/10W,0.00072,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
064-0306-000,CON_SMA_001_SMT_ST_F_057X100_50OHM,Connector (TH High Temp) SMA JACK RECEPTACLE 2 HOLE FLANGE,0,73251-3485,Molex-Japan,P8E10,999,CCM,SCREW02,Validation
195-1543-000,0603,RES PACHINKO 0603 976 1% 1/10W,0.003,RK73H1JTTD9760F~VERA,KOA Speer,P8E1-7cI-A-2,42,PACHINKO,0603,-55degC..155degC
195-1296-000,0603,RES SCD 0603 910 5% 1/10W,0.00064,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
045-0200-000,MULTI_CAP_TH_D080P035_D050P020,CAP ALE THRU 470uF 20% 10V 8X12mm,0.031,EGF477M1AF12RRP,Man Yue,P8E0-A-2,57,CCM,COMBI_TH_D80_D50,-40degC..105degC
195-3068-000,0402,RES SERVER 0402 383R 1% 1/16W,0.0014,Multi(4),Multi(4),P8E1-7cI-C-1,77,UNRESTRICTED,0402,-55degC..155degC
215-0104-000,2512,RES 2512 POWER METAL STRIP HIGH POWER LOW VALUE 0.003OHM 1.0% 150PPM 2.0W,0.175,WSL25123L000FEA18,Vishay,P8E8,71,CCM,2512,[ ]..[ ]
085-0299-000,XTAL_SMD_4_016X012,XTAL SMD_16X12 37400.0KHz 10.0ppm Fundamental 16.0pF X1E000251003100,0.15,X1E000251003100,Seiko Epson,P8E0-A-2,91,CCM,SMD_16X12,-20.15degC..84.85degC
032-1155-000,0603,CAP PACHINKO X6S 0603 1uF +/-10% 16V,0.01153,GRM188C81C105KAADD~PACHINKO,Murata,P8E0-B-2,133,PACHINKO,0603,-55degC..105degC
075-0290-000,CON_HDR_002X005_TH_ST_M_P025_SHR,HDR THRU DUAL ROW 2X5 MALE VERT 2.54mm PITCH SHROUDED,0.135,2302-10-S-02-3.1-HT,Singatron,P8E0-A-2,56,CCM,NORM,N/A
195-1999-000,0402,RES SERVER 0402 46.4 ohm 1% 1/16W,0.00076,Multi(4),Multi(4),P8E1-7cI-C-1,70,UNRESTRICTED,0402,-55degC..155degC
195-3350-000,0402,RES SERVER 0402 332K 1% 1/16W,[ ],Multi(4),Multi(4),P8E1-7cI-C-1,999,UNRESTRICTED,0402,-55degC..155degC
195-3011-000,0402,RES SERVER 0402 82R 1% 1/16W,0.0014,Multi(4),Multi(4),P8E1-7cI-C-1,63,UNRESTRICTED,0402,-55degC..155degC
100-0146-000,IND_SMD_0603,FER BEAD 0603 120 OHM@100MHz 0.025 OHM dcR MAX 3000mA,0.01568,BLM18SG121TN1D,Murata,P8E0-B-2,63,CCM,BEAD_0603,[ ]..[ ]
032-0129-000,MULTI_CAP_TH_D080P035_D050P020,CAP POL AL-Polymer COMBI_TH_D80_D50 270.0uF +/-20.0% 16.0V,0.2401,16SEPF270M,Panasonic Electronic Devices,P8E8,84,CCM,COMBI_TH_D80_D50,-55degC..105degC
195-0426-000,0402,RES SCD 0402 750K 1% 1/16W,0.00162,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
315-0899-000,SOT23_5,VREG LINEAR AUTOMOTIVE SOT235 LowDrop Out/Fixed 0.2V 1.8V 1.8V 2.0% TLV70018-Q1,0.072,TLV70018QDDCRQ1,TI,P8E10,49,AUTOMOTIVE,SOT235,-40.15degC..125.05degC
151-10001-0328-050,BRKT_ATX_2TAB_1_HDMI_DP_2_DP_3_DP,BRACKET SINGLE WIDE 2TAB HDMI(3.310)DP(2.286)DP(1.263),0.15,BBC-01131-A0,KuangYing,P7,35,CCM,ATX_1X_2P,BBC-01131-A0
080-1512-000,CON_MISC_100_SMT_ST_F_P008_BTB_A,Interconnect (SMD),0,[ ],[ ],P8E10,N/A,CCM,SMD106,Parameter N/A
195-2514-000,0201,RES SCD 0201 51.1K 1% 1/20W,0.00092,Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
195-2851-000,0402_MICRO,RES AUTOMOTIVE 0402 15 kOhm 1% 62.5mW,[ ],MR04X1502FTL,Walsin,P8E1-7cI-A-2,0,AUTOMOTIVE,0402,-55degC..155degC
170-0279-000,BGA_0024_P010_080X060,IC SERIAL FLASH AUTOMOTIVE 66.0MHz BGA24 S25FL256SDPBHVA00 256Mbit,[ ],S25FL256SDPBHVA00,Spansion,P8E10,30,AUTOMOTIVE,66MHz,-40.15degC..105.05degC
195-0416-000,0402,RES SCD 0402 715K 1% 1/16W,0.00039,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
086-0167-000,XTAL_SMD_4_025X020,OSC AUTOMOTIVE SMD 25.000MHz 9999.0ppm 1.62V 1.98V 15.0pF NZ2520SG-25MHz_1V8,0.52,NZ2520SG25.000000MNSA3483B~VERA,NDK,P8E10,45,AUTOMOTIVE,SMD,-40degC..105degC
